n_multisubunit_complexes,n_ligandcomplex_pairs_with_multiple_subunit_axes,ligand,complex,n_subunits,subunits,is_multisubunit,ligand_passes_corrected,n_types_enriched_min_rule,types_enriched_min_rule,n_types_enriched_anysubunit,complex_survives_min_rule,complex_survives_anysubunit,n_subunit_axes_surviving_published,n_types_enriched_geomean,complex_survives_geomean,inflated_vs_complex_min_rule
102,98,SEMA3B,NRP1_PLXNA3,2.0,NRP1;PLXNA3,1.0,0.0,3.0,HNSC;KIRC;STAD,13.0,False,False,0.0,7.0,False,False
102,98,SEMA3B,NRP1_PLXNA4,2.0,NRP1;PLXNA4,1.0,0.0,0.0,,3.0,False,False,0.0,1.0,False,False
102,98,SEMA3B,NRP2_PLXNA1,2.0,NRP2;PLXNA1,1.0,0.0,2.0,HNSC;KIRC,12.0,False,False,0.0,6.0,False,False
102,98,SEMA3B,NRP2_PLXNA2,2.0,NRP2;PLXNA2,1.0,0.0,1.0,KIRC,4.0,False,False,0.0,3.0,False,False
102,98,SEMA3B,NRP2_PLXNA3,2.0,NRP2;PLXNA3,1.0,0.0,3.0,HNSC;KIRC;THCA,13.0,False,False,0.0,6.0,False,False
102,98,SEMA3B,NRP2_PLXNA4,2.0,NRP2;PLXNA4,1.0,0.0,0.0,,3.0,False,False,0.0,1.0,False,False
102,98,TGFB2,ACVR1B_TGFbR2,2.0,ACVR1B;TGFBR2,1.0,0.0,0.0,,3.0,False,False,0.0,0.0,False,False
102,98,TGFB2,ACVR1C_TGFbR2,2.0,ACVR1C;TGFBR2,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,TGFB2,ACVR1_TGFbR,3.0,ACVR1;TGFBR1;TGFBR2,1.0,0.0,0.0,,4.0,False,False,0.0,3.0,False,False
102,98,TGFB2,TGFbR1_R2,2.0,TGFBR1;TGFBR2,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
