gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
FAAH,0.050110875581851365,1.049682976350066,0.2950491835381158,0.5662733946259632,6.258716049171426,194,16,0.05884537572452942,0.5392908376335298,0.039141968425876125,0.6619083641314981,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
NDUFS7,0.12785134925968272,1.049426042962708,0.29516709310332473,0.5663582625114962,8.346993370890477,194,16,0.03718185926157063,0.9060600586556041,0.2417153599549413,0.11251897733567513,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
KIR2DS1,0.06815794340787845,1.049122354948423,0.29530649986533797,0.5663582625114962,7.522470950680948,194,16,0.09014664546990286,0.48923964223526806,0.040544224539260695,0.7332075065756629,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SND1,0.06516340055537688,1.049118503391091,0.29530826819238176,0.5663582625114962,8.026096536161905,194,16,0.09577691668981592,0.4414489459549206,0.026718519828499356,0.8296528888785467,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
POLR1B,-0.09996570197102045,-1.049087659999277,0.29532242926836355,0.5663582625114962,6.462175865652382,194,16,-0.1035549395486004,0.6240461135740054,-0.09545828733866121,0.5052265647730492,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
AGR2,-0.0479223321926737,-1.0490385376602818,0.2953449836730251,0.5663582625114962,4.924116050304762,194,16,-0.03409217208564986,0.7383327175676877,-0.06529044023400032,0.3423905292535371,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
FAM106A,0.05302286320487147,1.0489944850929986,0.2953652112921897,0.5663582625114962,5.081753829633333,194,16,0.046137418912045564,0.659943405510118,0.06166970022383764,0.4734023156926275,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
GLA,-0.06329340222484058,-1.0487572958175106,0.29547413756013075,0.5664802434866976,6.122244445042857,194,16,-0.05493916568287611,0.6944201839724075,-0.07378476904506887,0.37548649856419797,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
FAM90A1,-0.04278361182729605,-1.0484342840116532,0.29562252033440306,0.566592722802382,5.294003562680948,194,16,-0.045219429129628376,0.5905957089471345,-0.03972467847094085,0.6130954026565474,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MIS18A,0.05931799449806338,1.048432267732182,0.2956234467157205,0.566592722802382,5.697672367938091,194,16,0.04374652676622162,0.6816043927097094,0.07887286095203291,0.4559245942826371,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HNRNPA0,0.06769188379959887,1.047669520431304,0.2959740320444375,0.5671777051838685,7.962267421376198,194,16,0.06518518242360262,0.6323378906358749,0.07083983436484524,0.5340329343524998,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CYP2A7,0.06154927742329835,1.047383581355929,0.2961055318343287,0.5673427370103874,6.047401735604765,194,16,0.05775830759955605,0.6440992518267796,0.06631003022528849,0.4874626234138492,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
PRMT8,-0.04166287287952578,-1.0467748812285353,0.2963855964937123,0.5677776536476502,4.494210819057145,194,16,-0.04730046735878736,0.5138172856168756,-0.03458310306831361,0.674964725539222,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
APOLD1,-0.219967518649517,-1.0466928522717436,0.29642335189235425,0.5677776536476502,7.930661020842858,194,16,-0.1906500300277848,0.6596161209784505,-0.2567848299418575,0.464283130093688,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
P2RX3,0.046874484844697015,1.0464010911525665,0.2965576667955878,0.5679479090500059,4.610451900585715,194,16,0.04315357574309245,0.6395468992790806,0.05154725441425959,0.5050304411783574,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HCN2,-0.06440243904767573,-1.0462304274585152,0.29663625239302005,0.568011399512565,5.81888117107619,194,16,-0.08051223769907226,0.47625604259165466,-0.04417152911336679,0.7292032576835827,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BTN2A2,0.06461736734085484,1.0459791352209211,0.29675199058917595,0.5680644864212531,5.9503694057904815,194,16,0.0930877390810171,0.4248279205168125,0.02886387724853583,0.819544798467193,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ALDH3B2,0.04029937573066043,1.045972923132496,0.29675485208904206,0.5680644864212531,4.7406892272285726,194,16,0.04949652034721287,0.48272303124970506,0.028749473188952962,0.7258816969327956,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
EML4,-0.05931677598388365,-1.0454061119291065,0.29701602287974377,0.568477391004678,4.629784996861903,194,16,-0.058376853085653775,0.6348195836825203,-0.06049714427470435,0.5305218289058146,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
DCAF10,-0.049870070476166595,-1.0451392743905614,0.2971390277420747,0.5685426702303404,5.005537482628571,194,16,-0.061718648252303915,0.531681487896836,-0.03499046117586858,0.7104883337629261,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
