gene,gene_symbol,log2FC_discovery,fdr_discovery,log2FC_validation,fdr_validation,direction,combined_z,min_abs_log2FC
ENSG00000105835,NAMPT,-1.5513888998621188,6.673255395206919e-11,-1.117039873640338,5.267286702455181e-34,down,-13.98725792887743,1.117039873640338
ENSG00000123572,NRK,0.6664564705716404,0.0016197393590087707,1.6662518421997958,1.977425408194361e-56,up,13.974593256894346,0.6664564705716404
ENSG00000166343,MSS51,1.2391017945484848,2.8911763328184743e-08,1.1856375441628788,8.337919767561055e-40,up,13.940175330357645,1.1856375441628788
ENSG00000115290,GRB14,-1.161696010789505,2.3603415868913675e-06,-1.1107863293243152,3.490887889889584e-45,down,-13.932580483010616,1.1107863293243152
ENSG00000182179,UBA7,0.594737552272458,0.0003312619087145327,0.8978955519238677,1.4902287953810677e-52,up,13.897512008936756,0.594737552272458
ENSG00000158023,WDR66,0.9326881901677634,7.530936685280757e-06,1.1923518773940185,1.9007956004404968e-46,up,13.891759313072901,0.9326881901677634
ENSG00000113916,BCL6,-0.5053725870546173,0.007376871011173469,-0.9506472679855398,4.771887648761278e-59,down,-13.885076934920795,0.5053725870546173
ENSG00000172458,IL17D,0.8318716286621874,7.625804972818833e-06,1.4992651913043311,3.703847236326531e-46,up,13.85609727197664,0.8318716286621874
ENSG00000143942,CHAC2,-0.4816250538255242,3.279629473600875e-05,-1.3952678327668677,2.8516118750531476e-48,down,-13.852014569229965,0.4816250538255242
ENSG00000162241,SLC25A45,0.8323779641323527,6.166040994240547e-09,0.888191458110742,3.477518477744587e-37,up,13.821964929161835,0.8323779641323527
ENSG00000128606,LRRC17,1.0550450441098496,0.00011279566764898527,1.5286484786815033,1.2652167512300032e-49,up,13.782510140853837,1.0550450441098496
ENSG00000103528,SYT17,0.344067273265425,0.008634978755910783,1.374318755569887,2.2540458663534894e-58,up,13.77763995091974,0.344067273265425
ENSG00000260807,RP11-161M6.2,1.1791857154121754,4.393572958642393e-08,1.5239516725147129,6.55152624649078e-39,up,13.772598401949104,1.1791857154121754
ENSG00000106624,AEBP1,1.9526686902731334,1.2516283662999627e-06,1.6761199711578108,5.843124909357819e-43,up,13.770768425357394,1.6761199711578108
ENSG00000162882,HAAO,1.0176431471677558,2.597265965945528e-06,1.5446790219038005,6.782814130223795e-44,up,13.766260174653167,1.0176431471677558
ENSG00000151468,CCDC3,1.1542606079829054,2.9102507066674146e-06,1.0805493317542993,7.884301921916711e-44,up,13.739774873506251,1.0805493317542993
ENSG00000156219,ART3,-1.0114747041310763,6.86009556529959e-07,-1.1358438635956962,7.630193057148354e-42,down,-13.72832343307951,1.0114747041310763
ENSG00000004468,CD38,-0.6303129868592728,0.0002373179624973644,-1.4848851188927692,3.276791435908376e-50,down,-13.708403337102391,0.6303129868592728
ENSG00000235217,TSPY26P,0.46084207915857184,2.936095453199166e-08,0.7162118948948418,7.179971192303534e-38,up,13.695604286626436,0.46084207915857184
ENSG00000188257,PLA2G2A,-2.5758998369867956,3.9399242924877767e-07,-2.545726364942721,1.170874756398634e-40,down,-13.666547815780842,2.545726364942721
